img_name,h_mean,s_mean,v_mean,Radiation Value
IMG_3608,81.684,110.695,247.842,-2.6138
IMG_3609,81.657,110.242,248.206,-2.5708
IMG_3610,81.761,110.059,248.091,-2.943
IMG_3611,81.697,112.409,247.527,-3.2606
IMG_3612,81.621,115.575,245.864,-3.2913
IMG_3613,81.618,116.14,245.845,-3.4858
IMG_3614,81.602,116.632,245.464,-3.829
IMG_3615,81.337,121.311,242.851,-3.8899
IMG_3616,81.277,119.707,243.866,-3.8131
IMG_3617,80.325,125.039,239.894,-3.7826
IMG_3618,80.377,126.84,238.685,-3.8049
IMG_3619,79.936,129.192,236.569,-3.7751
IMG_3620,79.88,134.519,232.29,-3.7917
IMG_3621,79.631,136.91,230.033,-3.9184
IMG_3622,79.717,138.129,228.645,-3.7759
IMG_3623,79.06,137.961,228.19,-3.5385
IMG_3624,79.124,142.335,223.028,-3.5196
IMG_3625,78.546,142.008,222.304,-3.4621
IMG_3626,78.206,137.822,225.632,-3.6001
IMG_3627,78.224,137.139,226.474,-3.7553
IMG_3628,78.081,131.521,232.089,-3.8393
IMG_3629,78.45,136.117,227.375,-3.3499
IMG_3630,77.174,133.439,228.086,-3.3569
IMG_3631,77.741,136.874,225.846,-3.2964
IMG_3632,77.679,145.345,212.756,-3.3627
IMG_3633,77.17,138.146,222.377,-3.4626
IMG_3634,76.679,134.68,225.964,-3.472
IMG_3635,76.602,136.688,222.974,-3.5698
IMG_3636,76.667,136.769,223.649,-3.3456
IMG_3637,76.618,136.581,222.918,-3.3663
IMG_3638,76.585,131.78,228.529,-3.1123
IMG_3639,76.243,129.175,230.298,-3.0113
IMG_3640,75.891,129.793,229.336,-2.889
IMG_3641,75.767,133.635,224.937,-2.7135
IMG_3642,75.6,132.054,226.256,-2.8835
IMG_3643,75.641,129.911,228.385,-2.7556
IMG_3644,75.544,130.804,227.294,-2.7421
IMG_3645,75.402,131.437,227.322,-2.7375
IMG_3646,75.255,132.314,225.951,-2.6275
IMG_3647,75.094,132.231,225.882,-2.6603
IMG_3648,74.892,129.29,228.861,-2.6875
IMG_3649,75.016,131.451,226.614,-2.8241
IMG_3650,75.452,135.608,221.26,-2.5898
IMG_3651,83.827,100.236,251.733,-4.282
IMG_3652,84.184,91.349,252.537,-4.1117
IMG_3653,83.726,92.923,252.932,-4.0104
IMG_3654,83.253,95.112,252.851,-4.0173
IMG_3655,85.347,75.631,254.751,-3.5005
IMG_3656,84.702,80.868,254.384,-3.0182
IMG_3657,85.26,79.689,254.494,-1.927
IMG_3658,84.366,85.117,253.8,-1.8505
IMG_3659,83.991,90.12,252.247,-1.4281
IMG_3660,84.555,86.568,253.632,-1.5438
IMG_3661,83.344,92.952,252.145,-1.5365
IMG_3662,84.525,87.319,253.529,-1.6437
IMG_3663,85.677,77.731,254.731,-1.8614
IMG_3664,83.85,97.922,252.05,-1.7443
IMG_3665,83.669,95.778,252.596,-1.8341
IMG_3666,81.821,109.397,247.778,-1.8901
IMG_3667,81.827,114.074,245.481,-1.873
IMG_3668,81.72,111.919,247.395,-1.9102
IMG_3669,81.492,123.268,240.874,-1.982
IMG_3670,81.906,109.496,246.839,-1.9857
IMG_3671,81.496,122.646,240.737,-1.7038
IMG_3672,78.891,129.047,233.869,-1.7371
IMG_3673,79.204,131.777,232.431,-1.7136
IMG_3674,79.427,138.64,226.833,-1.6117
IMG_3675,79.562,128.97,235.781,-1.8099
IMG_3676,79.286,125.493,238.37,-2.0218
IMG_3677,78.639,121.791,239.902,-1.8354
IMG_3678,78.127,120.97,239.233,-1.7137
IMG_3679,76.007,125.38,232.239,-1.7381
IMG_3680,75.982,124.722,232.512,-1.7234
IMG_3681,76.511,123.6,234.863,-1.4748
IMG_3682,74.118,120.07,235.316,-2.7685
IMG_3683,73.428,121.196,233.613,-2.3871
IMG_3684,73.391,120.932,233.273,-2.0945
IMG_3685,74.013,124.339,229.418,-2.4925
IMG_3686,74.025,124.673,230.55,-2.2808
IMG_3687,75.177,127.524,229.063,-2.3295
IMG_3688,75.062,127.363,228.278,-2.3694
IMG_3689,76.144,131.739,225.391,-2.5878
IMG_3690,76.606,135.833,223.675,-2.5216
IMG_3691,76.626,136.018,222.795,-2.4774
IMG_3692,75.784,130.76,227.792,-2.4117
IMG_3693,75.962,130.208,227.857,-2.4005
IMG_3694,75.516,130.896,225.754,-1.519
IMG_3695,75.896,133.594,223.847,-1.3661
IMG_3696,75.013,127.172,229.02,-1.4137
IMG_3697,74.953,126.671,228.812,-1.8
IMG_3698,74.365,128.552,225.148,-2.0464
IMG_3699,74.936,129.97,225.274,-2.4399
IMG_3700,83.257,111.647,248.035,-6.1211
IMG_3701,83.147,112.32,247.583,-6.0823
IMG_3702,83.295,112.507,247.697,-6.3217
IMG_3703,83.273,120.048,243.914,-6.4225
IMG_3704,83.167,118.647,244.881,-6.61
IMG_3705,83.38,122.889,242.512,-6.6964
IMG_3706,83.554,127.018,240.053,-6.7026
IMG_3707,83.726,130.997,237.839,-6.9413
IMG_3708,83.914,135.872,234.847,-6.9238
IMG_3709,83.983,141.763,230.534,-7.1143
IMG_3710,83.562,139.874,231.934,-7.1893
IMG_3711,83.91,148.209,225.527,-7.5189
IMG_3712,84.675,162.798,212.624,-8.4935
IMG_3713,85.508,177.38,196.156,-13.7837
IMG_3714,84.552,169.452,204.248,-20.9203
IMG_3715,83.685,163.375,209.083,-11.0941
IMG_3716,82.942,155.384,215.848,-7.9818
IMG_3717,83.023,158.74,213.109,-6.582
IMG_3718,83.187,165.728,203.968,-6.1153
IMG_3719,84.027,178.581,187.75,-7.4659
IMG_3720,84.531,186.986,173.188,-13.2873
IMG_3721,83.115,178.132,186.694,-11.7565
IMG_3722,81.899,167.507,198.645,-5.7568
IMG_3723,81.548,164.09,201.325,-4.4789
IMG_3724,81.361,163.019,203.241,-4.5385
IMG_3725,81.035,161.105,205.707,-4.2844
IMG_3726,80.913,161.093,204.47,-4.3942
IMG_3727,80.537,159.715,205.161,-4.5936
IMG_3728,80.277,158.093,205.529,-4.4048
IMG_3729,79.946,158.062,205.893,-4.1566
IMG_3730,79.883,155.555,208.236,-3.9746
IMG_3731,79.991,158.269,204.036,-4.0963
IMG_3732,79.837,156.922,206.683,-4.1688
IMG_3733,79.297,154.03,209.715,-3.8809
IMG_3734,79.204,150.296,214.818,-3.7142
IMG_3735,79.238,150.986,213.331,-4.1754
IMG_3736,79.153,152.431,211.111,-4.0818
IMG_3737,79.147,156.946,204.449,-3.9869
IMG_3738,78.928,150.99,212.414,-3.9562
IMG_3739,78.816,150.301,214.035,-4.2184
IMG_3740,78.665,151.972,210.957,-4.7394
