Year,Month,Day,Time,Min,image_name,Clear,Cirrus,Cirrostratus,Stratus,Stratocumulus,Cumulus,Cirrocumulus,Nimbus,Clear_weighted,Cirrus_weighted,Cirrostratus_weighted,Stratus_weighted,Stratocumulus_weighted,Cumulus_weighted,Cirrocumulus_weighted,Nimbus_weighted,label,Temperature(C),Absolute_Humidity(g/m^3),Radiation Value
2021,10,27,22,10,IMG_0371,0.36,0,0.064,0.542,0.003,0,0.032,0,0.249165167,0,0.023426893,0.297569614,0.001154763,0,0.013279132,0,1,21.8,14.0046883,-23.1017
2021,10,27,22,20,IMG_0372,0.436,0.008,0.171,0.386,0,0,0,0,0.302094471,0.004420162,0.07939689,0.224745891,0,0,0,0,1,21.8,14.0046883,-23.726
2021,10,27,22,30,IMG_0373,0.209,0.023,0.289,0.351,0,0,0.128,0,0.142895425,0.008606303,0.121323205,0.210093682,0,0,0.042819449,0,1,21.9,13.89269177,-24.1565
2021,10,27,22,40,IMG_0374,0.094,0.064,0.136,0.49,0.001,0,0.215,0,0.057384022,0.017010306,0.043803643,0.275970463,0.000316068,0,0.065941068,0,1,21.7,13.73339137,-22.4946
2021,10,27,23,0,IMG_0376,0.527,0,0.062,0.367,0,0.001,0.043,0,0.387456873,0.000184563,0.027431566,0.199791812,0,0.000228869,0.013638469,0,1,21.7,13.73339137,-23.9325
2021,10,28,0,30,IMG_0385,0.618,0,0.013,0.232,0.013,0.033,0.092,0,0.465057535,0,0.007578921,0.135633812,0.007065775,0.014242969,0.048508879,0,1,21.8,13.23730812,-22.7353
2021,10,28,1,40,IMG_0392,0.444,0,0.04,0.169,0.042,0.006,0.299,0,0.345566496,8.03E-05,0.016309563,0.094021815,0.022938852,0.002082625,0.123063371,0,1,21.9,13.12087556,-22.6745
2021,10,28,2,30,IMG_0397,0.162,0,0,0.201,0.613,0.024,0,0,0.129555732,0,0,0.088220651,0.321657444,0.008864506,0,4.57E-06,1,21.6,12.89576035,-22.8284
2021,10,28,2,40,IMG_0398,0.093,0,0,0.144,0.695,0.057,0.01,0,0.073451405,0,0,0.083836816,0.395016526,0.026691121,0.004659367,0,1,21.7,12.97042518,-22.3795
2021,10,29,0,10,IMG_0407,0.528,0,0,0.472,0,0,0,0,0.386381325,0,3.39E-06,0.246094546,0,0,0,0,1,20.4,12.20521241,-22.403
2021,10,29,0,20,IMG_0408,0.522,0,0,0.478,0,0,0,0,0.384549339,0,0,0.248569268,0,0,0,0,1,20.1,12.34096888,-24.7086
2021,10,29,0,30,IMG_0409,0.517,0,0,0.483,0,0,0,0,0.379208143,0,0,0.248707429,0,0,0,0,1,20.2,12.23844016,-22.8015
2021,10,29,0,40,IMG_0410,0.509,0,0,0.491,0,0,0,0,0.380694434,0,0,0.251575699,0,0,0,0,1,20.4,12.20521241,-24.3244
2021,10,29,0,50,IMG_0411,0.492,0,0,0.508,0,0,0,0,0.363853223,0,0,0.26062518,0,0,0,0,1,20.3,12.3100887,-24.9326
2021,10,29,1,0,IMG_0412,0.541,0,0,0.459,0,0,0,0,0.398241511,0,0,0.240019328,0,0,0,0,1,20.4,12.38209955,-23.3931
2021,10,29,1,20,IMG_0414,0.465,0,0,0.535,0,0,0,0,0.335713845,0,0,0.285012785,0,0,0,0,1,20.3,12.48594711,-24.3779
2021,10,29,23,0,IMG_0449,0.245,0,0.006,0.316,0.417,0.006,0.01,0,0.1823221,0,0.002743833,0.171419238,0.247782129,0.002729665,0.00358297,0,1,21,13.37136666,-19.1222
2021,10,30,21,50,IMG_0491,0.291,0,0,0.709,0,0,0,0,0.195893727,0,0,0.396133286,0,0,0,0,1,21.6,13.46469095,-23.9282
2021,10,30,22,0,IMG_0492,0.379,0,0,0.621,0,0,0,0,0.266346477,0,0,0.335095065,0,0,0,0,1,21.3,13.60589974,-22.618
2021,10,30,22,10,IMG_0493,0.361,0,0,0.639,0,0,0,0,0.250541068,0,0,0.337479965,0,0,0,0,1,21.2,13.7126362,-22.8781
2021,10,30,22,20,IMG_0494,0.456,0,0.002,0.527,0.005,0.007,0.004,0,0.32293131,0,0.001011764,0.289237868,0.003119494,0.00428892,0.002756408,0,1,20.8,13.76012184,-23.5532
2021,10,30,22,30,IMG_0495,0.193,0,0.003,0.626,0.007,0.171,0,0,0.133700984,0,0.001714776,0.314341564,0.002717142,0.062566046,0,0,1,20.9,13.47607835,-21.1942
2021,10,30,23,20,IMG_0500,0.27,0,0,0.205,0.01,0.516,0,0,0.199921049,0,0,0.12136277,0.006294779,0.209512072,0,0,1,21.2,13.34202441,-22.455
2021,10,30,23,30,IMG_0501,0.543,0.104,0.048,0.305,0,0,0,0,0.412864228,0.040355484,0.018003628,0.165568089,0,0,2.25E-05,0,1,21.1,13.26491818,-23.9844
2021,10,30,23,40,IMG_0502,0.609,0,0,0.391,0,0,0,0,0.450363431,0,0,0.200277058,0,0,0,0,1,21.2,13.34202441,-25.3477
2021,10,30,23,50,IMG_0503,0.339,0,0,0.401,0.086,0.161,0.012,0,0.260106964,0,0.000160194,0.203706934,0.039574053,0.082041001,0.003826179,0,1,21.1,13.26491818,-25.0056
2021,10,31,0,0,IMG_0504,0.2,0,0,0.27,0.002,0.527,0.001,0,0.153054004,0,0,0.151488942,0.001102825,0.231763176,0.000434225,0,1,20.9,13.29396919,-23.1403
2021,10,31,0,10,IMG_0505,0.633,0,0,0.308,0,0.058,0,0,0.47922476,0,0,0.161189401,0.000202178,0.033073535,1.75E-05,0,1,20.7,13.32033948,-23.1456
2021,10,31,0,20,IMG_0506,0.632,0,0,0.368,0,0,0,0,0.484815768,0,0,0.179700639,0,0,0,0,1,20.6,13.42201525,-23.218
2021,10,31,0,30,IMG_0507,0.659,0,0,0.341,0,0,0,0,0.503997746,0,0,0.169180604,0,0,0,0,1,20.4,13.44342237,-22.2017
2021,10,31,0,40,IMG_0508,0.66,0,0,0.34,0,0,0,0,0.497388912,0,0,0.171094809,0,0,0,0,1,20.2,13.63711904,-20.9039
2021,10,31,0,50,IMG_0509,0.637,0,0,0.363,0,0,0,0,0.485104988,0,0,0.180340723,0,0,0,0,1,20.1,13.55768412,-20.5957
2021,10,31,1,0,IMG_0510,0.632,0,0,0.322,0,0.046,0,0,0.471138056,0,5.15E-05,0.166115843,7.55E-05,0.022583549,3.42E-05,0,1,19.9,13.74360372,-18.8997
2021,10,31,1,30,IMG_0513,0.52,0,0.001,0.276,0.017,0.145,0.041,0,0.395510051,0,0.000702945,0.145571146,0.008987703,0.081619238,0.020065753,0,1,20.2,13.46228418,-22.7854
2021,10,31,2,10,IMG_0517,0.658,0,0,0.342,0,0,0,0,0.503596432,0,0,0.171151074,0,0,0,0,1,20.1,13.55768412,-19.3328
2021,10,31,2,20,IMG_0518,0.664,0,0,0.336,0,0,0,0,0.512672544,0,0,0.166835494,0,0,0,0,1,20,13.65145274,-22.7637
2021,10,31,2,30,IMG_0519,0.663,0,0,0.337,0,0,0,0,0.510507662,0,0,0.169372408,0,0,0,0,1,20,13.65145274,-20.3255
2021,10,31,2,40,IMG_0520,0.646,0,0,0.354,0,0,0,0,0.496264791,0,0,0.176885164,0,0,0,0,1,20,13.82425594,-23.4918
2021,10,31,2,50,IMG_0521,0.631,0,0,0.369,0,0,0,0,0.475684067,0,0,0.183309766,0,0,0,0,1,20,13.82425594,-22.7817
2021,10,31,3,20,IMG_0524,0.621,0,0,0.238,0,0.141,0,0,0.462874715,0,0,0.122159518,0.000242743,0.074987598,2.01E-05,0,1,20,13.99705914,-23.2216
2021,10,31,3,30,IMG_0525,0.587,0.003,0.07,0.253,0.015,0.035,0.036,0,0.446897093,0.002258406,0.037002524,0.13065764,0.007825406,0.012279349,0.01835752,0,1,20,13.82425594,-22.0087
2021,10,31,21,10,IMG_0536,0.512,0,0.044,0.279,0.001,0.009,0.155,0,0.347562628,5.52E-05,0.022119449,0.169963559,0.000379372,0.004692007,0.065630424,0,1,22.5,15.57855465,-21.3939
2021,11,1,2,0,IMG_0565,0.563,0,0,0.229,0,0.035,0.172,0,0.454153673,0,0,0.101360915,9.43E-06,0.009339386,0.052040828,0,1,22,14.74921292,-22.2103
2021,11,1,22,50,IMG_0575,0.61,0,0,0.39,0,0,0,0,0.446551833,0,0,0.197089844,0,0,0,0,1,21.7,13.16116673,-21.5961
2021,11,1,23,0,IMG_0576,0.518,0,0,0.322,0,0.16,0,0,0.385873866,0,0,0.150225684,6.27E-06,0.052325871,3.00E-06,0,1,21.6,13.27504742,-21.9477
2021,11,1,23,10,IMG_0577,0.733,0,0,0.267,0,0,0,0,0.544214686,0,0,0.128860322,0,0,0,0,1,21.5,13.198569,-21.9194
2021,11,1,23,20,IMG_0578,0.764,0,0,0.236,0,0,0,0,0.566260337,0,0,0.117093818,0,0,0,0,1,21.5,13.38711998,-24.3793
2021,11,1,23,30,IMG_0579,0.738,0,0,0.262,0,0,0,0,0.563422123,0,0,0.126984878,0,0,0,0,1,21.4,13.30993532,-23.7722
2021,11,1,23,40,IMG_0580,0.714,0,0,0.286,0,0,0,0,0.546425871,0,0,0.136829222,0,0,0,0,1,21.2,13.34202441,-23.7331
2021,11,1,23,50,IMG_0581,0.735,0,0,0.265,0,0,0,0,0.557793412,0,0,0.127192773,0,0,0,0,1,21.2,13.34202441,-24.1494
2021,11,2,0,0,IMG_0582,0.757,0,0,0.243,0,0,0,0,0.5825423,0,0,0.115639491,0,0,0,0,1,21.1,13.26491818,-24.5533
2021,11,2,0,10,IMG_0583,0.773,0,0,0.227,0,0,0,0,0.609049301,0,0,0.104124895,0,0,0,0,1,21.2,13.15671852,-24.6906
2021,11,2,0,20,IMG_0584,0.791,0,0,0.209,0,0,0,0,0.612597333,0,0,0.097564784,0,0,0,0,1,21.3,13.04675317,-24.5103
2021,11,2,0,30,IMG_0585,0.798,0,0,0.202,0,0,0,0,0.621732474,0,0,0.093419148,0,0,0,0,1,21.2,12.97141262,-23.7317
2021,11,2,0,40,IMG_0586,0.811,0,0,0.189,0,0,0,0,0.619043998,0,0,0.089101563,0,0,0,0,1,21,13.00502784,-23.8033
2021,11,2,0,50,IMG_0587,0.808,0,0,0.192,0,0,0,0,0.629096319,0,0,0.088843765,0,2.75E-05,0,0,1,21,13.00502784,-23.3053
